exercise_name,action,excel_original_name,exercise_name_diff,force_diff,equipment_diff,mechanic_diff,difficulty_diff,advanced_isolated_muscles_diff
Dumbbell Split Squat,insert,Dumbbell Split Squat,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Alternating Arnold Press,insert,Dumbbell Alternating Arnold Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Advanced,None -> Lateral Deltoid; Anterior Deltoid
Dumbbell Alternating Overhead Press,insert,Dumbbell Alternating Overhead Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,None -> Anterior Deltoid; Lateral Deltoid
Dumbbell Alternating Pendlay Row,update,Dumbbell Alternating Pendlay Row,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,advanced -> Advanced,
Dumbbell Arnold Press,update,Dumbbell Arnold Press,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,anterior deltoid -> Anterior Deltoid; Lateral Deltoid
Dumbbell Figure Four Glute Bridge,insert,Dumbbell Figure Four Glute Bridge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Dumbbell Figure Four Hip Thrust,insert,Dumbbell Figure Four Hip Thrust,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Dumbbell Front Rack Pause Squat,update,Dumbbell Front Rack Pause Squat,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,
Dumbbell Front Rack Squat,update,Dumbbell Front Rack Squat,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,
Dumbbell Goblet Pulse Squat,insert,Dumbbell Goblet Pulse Squat,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Half Kneeling Wood Chopper,update,Dumbbell Half Kneeling Wood Chopper,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,intermediate -> Intermediate,obliques -> Obliques
Dumbbell Heels Up Goblet Squat,update,Dumbbell Heels Up Goblet Squat,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,novice -> Beginner,
Dumbbell Heels Up Narrow Goblet Squat,update,Dumbbell Heels Up Narrow Goblet Squat,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,advanced -> Advanced,
Dumbbell Hollow Hold,update,Dumbbell Hollow Hold,,hold -> Hold,dumbbell -> Dumbbells,isolation -> Isolation,advanced -> Advanced,
Dumbbell Kneeling Single Arm Row,update,Dumbbell Kneeling Single Arm Row,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,novice -> Beginner,
Dumbbell Kneeling Wood Chopper,update,Dumbbell Kneeling Wood Chopper,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,obliques -> Obliques
Dumbbell Laying Incline Row,update,Dumbbell Laying Incline Row,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,novice -> Beginner,
Dumbbell Leg Curl,update,Dumbbell Leg Curl,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,None -> Medial Hamstrings
Dumbbell Leg Extension,insert,Dumbbell Leg Extension,,None -> Push,None -> Dumbbells,None -> Isolation,None -> Beginner,
Dumbbell Neutral Alternating Overhead Press,insert,Dumbbell Neutral Alternating Overhead Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,None -> Anterior Deltoid
Dumbbell Neutral Overhead Press,update,Dumbbell Neutral Overhead Press,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,novice -> Beginner,anterior deltoid -> Anterior Deltoid
Dumbbell Offset Squat,insert,Dumbbell Offset Squat,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,None -> Obliques
Dumbbell Overhead Press,insert,Dumbbell Overhead Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,None -> Anterior Deltoid; Lateral Deltoid
Dumbbell Overhead Side Bend,insert,Dumbbell Overhead Side Bend,,None -> Pull,None -> Dumbbells,None -> Isolation,None -> Advanced,None -> Obliques
Dumbbell Overhead Tricep Extension,update,Dumbbell Overhead Tricep Extension,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,triceps brachii -> Long Head Tricep
Dumbbell Pendlay Row,update,Dumbbell Pendlay Row,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,
Dumbbell Push Press,update,Dumbbell Push Press,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,anterior deltoid -> Anterior Deltoid; Lateral Deltoid
Dumbbell Renegade Row,update,Dumbbell Renegade Row,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,
Dumbbell Seated Calf Raise,update,Dumbbell Seated Calf Raise,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,
Dumbbell Shoulder Extension,update,Dumbbell Shoulder Extension,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,intermediate -> Intermediate,
Dumbbell Side Plank Up Down,insert,Dumbbell Side Plank Up Down,,None -> Push,None -> Dumbbells,None -> Isolation,None -> Beginner,None -> Obliques
Dumbbell Silverback Shrug,update,Dumbbell Silverback Shrug,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,None -> Traps (mid-back)
Dumbbell Single Arm Arnold Press,insert,Dumbbell Single Arm Arnold Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,None -> Anterior Deltoid; Lateral Deltoid
Dumbbell Single Arm Neutral Overhead Press,insert,Dumbbell Single Arm Neutral Overhead Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,None -> Anterior Deltoid; Lateral Deltoid
Dumbbell Single Arm Overhead Press,insert,Dumbbell Single Arm Overhead Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,None -> Anterior Deltoid; Lateral Deltoid
Dumbbell Single Arm Preacher Curl,update,Dumbbell Single Arm Preacher Curl,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,brachialis -> Short Head Bicep
Dumbbell Single Arm Row,update,Dumbbell Single Arm Row,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,novice -> Beginner,
Dumbbell Single Arm Row Knee,insert,Dumbbell Single Arm Row Knee,,None -> Pull,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Single Arm Spider Curl,update,Dumbbell Single Arm Spider Curl,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,
Dumbbell Single Leg Glute Bridge,insert,Dumbbell Single Leg Glute Bridge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Dumbbell Single Leg Hip Thrust,insert,Dumbbell Single Leg Hip Thrust,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Single Leg Single Arm Deadlift,update,Dumbbell Single Leg Single Arm Deadlift,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,advanced -> Advanced,None -> Gluteus Maximus; Lateral Hamstrings
Dumbbell Single Leg Stiff Leg Deadlift,update,Dumbbell Single Leg Stiff Leg Deadlift,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,None -> Gluteus Maximus; Lateral Hamstrings
Dumbbell Spider Curl,update,Dumbbell Spider Curl,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,
Dumbbell Staggered Deadlift,update,Dumbbell Staggered Deadlift,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,None -> Gluteus Maximus; Lateral Hamstrings
Dumbbell Staggered Glute Bridge,insert,Dumbbell Staggered Glute Bridge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Staggered Hip thrust,insert,Dumbbell Staggered Hip thrust,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Sumo Squat,update,Dumbbell Sumo Squat,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,beginner -> Beginner,
Dumbbell Swing,update,Dumbbell Swing,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,beginner -> Beginner,
Dumbbell Thruster,update,Dumbbell Thruster,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,anterior deltoid -> Anterior Deltoid; Lateral Deltoid
Dumbbell Tricep Kickback,update,Dumbbell Tricep Kickback,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,
Dumbbell Twisting Curl,update,Dumbbell Twisting Curl,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,
Dumbbell Hand Side Plank,update,Dumbbell Hand Side Plank,,hold -> Hold,dumbbell -> Dumbbells,isolation -> Isolation,intermediate -> Intermediate,obliques -> Obliques
Dumbbell Elbow Side Plank,insert,Dumbbell Elbow Side Plank,,None -> Hold,None -> Dumbbells,None -> Isolation,None -> Beginner,None -> Obliques
Mountain Climber,update,Mountain Climber,,pull -> Pull,bodyweight -> Bodyweight,compound -> Compound,novice -> Beginner,
Burpee,update,Burpee,,push -> Push,bodyweight -> Bodyweight,compound -> Compound,intermediate -> Intermediate,rectus abdominis -> Chest
Plate Alternating Deadstop Row,insert,Plate Alternating Deadstop Row,,None -> Pull,None -> Plate,None -> Compound,None -> Intermediate,
Plate Bicep Curl,insert,Plate Bicep Curl,,None -> Pull,None -> Plate,None -> Isolation,None -> Beginner,
Plate Squat,update,Plate Squat,,push -> Push,plate -> Plate,compound -> Compound,novice -> Beginner,
Plate Clean And Press,insert,Plate Clean And Press,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,None -> Lateral Deltoid; Anterior Deltoid
Plate Squat Reach,update,Plate Squat Reach,,push -> Push,plate -> Plate,compound -> Compound,beginner -> Beginner,None -> Anterior Deltoid
Plate Clean,insert,Plate Clean,,None -> Pull,None -> Plate,None -> Compound,None -> Intermediate,
Plate Curl To Overhead Press,insert,Plate Curl To Overhead Press,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,None -> Anterior Deltoid; Lateral Deltoid
Plate Squat Hold Reach,insert,Plate Squat Hold Reach,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,None -> Anterior Deltoid
Plate Curl To Overhead Press To Tricep Extension,insert,Plate Curl To Overhead Press To Tricep Extension,,None -> Push,None -> Plate,None -> Compound,None -> Advanced,None -> Anterior Deltoid; Lateral Deltoid
Plate Curtsy Lunge,insert,Plate Curtsy Lunge,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,
Plate Deadlift,insert,Plate Deadlift,,None -> Pull,None -> Plate,None -> Compound,None -> Intermediate,
Plate Squat Hold Curl,insert,Plate Squat Hold Curl,,None -> Pull,None -> Plate,None -> Compound,None -> Intermediate,
Plate Single Leg Pinch Grip Deadlift,insert,Plate Single Leg Pinch Grip Deadlift,,None -> Pull,None -> Plate,None -> Compound,None -> Intermediate,
Plate Car Driver,insert,Plate Car Driver,,None -> Hold,None -> Plate,None -> Compound,None -> Beginner,None -> Anterior Deltoid
Plate Front Raise,insert,Plate Front Raise,,None -> Push,None -> Plate,None -> Isolation,None -> Beginner,None -> Anterior Deltoid
Plate Good Morning Anterior,update,Plate Good Morning Anterior,,pull -> Pull,plate -> Plate,isolation -> Isolation,novice -> Beginner,
Plate Good Morning,update,Plate Good Morning,,pull -> Pull,plate -> Plate,,novice -> Beginner,
Plate Halo,insert,Plate Halo,,None -> Push,None -> Plate,None -> Compound,None -> Beginner,None -> Lateral Deltoid; Anterior Deltoid
Plate Lateral Lunge,insert,Plate Lateral Lunge,,None -> Push,None -> Plate,None -> Compound,None -> Beginner,
Plate Forward Lunge,insert,Plate Forward Lunge,,None -> Push,None -> Plate,None -> Compound,None -> Beginner,
Band High Curl,update,Band High Curl,,pull -> Pull,band -> Band,isolation -> Isolation,novice -> Beginner,
Band High Hammer Curl,update,Band High Hammer Curl,,pull -> Pull,band -> Band,isolation -> Isolation,novice -> Beginner,
Band High Reverse Curl,update,Band High Reverse Curl,,pull -> Pull,band -> Band,isolation -> Isolation,novice -> Beginner,
Band Chest Fly,update,Band Chest Fly,,push -> Push,band -> Band,isolation -> Isolation,beginner -> Beginner,None -> Chest
Band Chest Press,update,Band Chest Press,,push -> Push,band -> Band,compound -> Compound,novice -> Beginner,None -> Chest
Band Curl,update,Band Curl,,pull -> Pull,band -> Band,isolation -> Isolation,novice -> Beginner,
Plate Single Leg Deadlift,insert,Plate Single Leg Deadlift,,None -> Pull,None -> Plate,None -> Compound,None -> Advanced,
Band High Face Pull,update,Band High Face Pull,,pull -> Pull,band -> Band,isolation -> Isolation,novice -> Beginner,posterior deltoid -> Posterior Deltoid; Traps (mid-back)
Plate Reverse Lunge Twist,insert,Plate Reverse Lunge Twist,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,None -> Obliques
Plate Reverse Lunge,insert,Plate Reverse Lunge,,None -> Push,None -> Plate,None -> Compound,None -> Beginner,
Band Hip Abduction,insert,Band Hip Abduction,,None -> Push,None -> Band,None -> Isolation,None -> Beginner,
Band Hip Adduction,insert,Band Hip Adduction,,None -> Pull,None -> Band,None -> Isolation,None -> Intermediate,
Band Internally Rotated Chest Fly,update,Band Internally Rotated Chest Fly,,push -> Push,band -> Band,isolation -> Isolation,intermediate -> Intermediate,None -> Chest
Plate Pinch Grip Side Bend,insert,Plate Pinch Grip Side Bend,,None -> Pull,None -> Plate,None -> Isolation,None -> Beginner,None -> Obliques
Band Leg Curl,update,Band Leg Curl,,pull -> Pull,band -> Band,isolation -> Isolation,beginner -> Beginner,
Plate Pinch Grip Row,insert,Plate Pinch Grip Row,,None -> Pull,None -> Plate,None -> Compound,None -> Intermediate,
Band Leg Extension,insert,Band Leg Extension,,None -> Push,None -> Band,None -> Isolation,None -> Beginner,
Band Low Lateral Raise,update,Band Low Lateral Raise,,push -> Push,band -> Band,isolation -> Isolation,intermediate -> Intermediate,lateral deltoid -> Lateral Deltoid
Band Mid Lateral Raise,update,Band Mid Lateral Raise,,push -> Push,band -> Band,isolation -> Isolation,beginner -> Beginner,lateral deltoid -> Lateral Deltoid
Plate Pinch Grip Deadlift,insert,Plate Pinch Grip Deadlift,,,None -> Plate,,None -> Intermediate,
Band Overhead Press,update,Band Overhead Press,,push -> Push,band -> Band,compound -> Compound,novice -> Beginner,anterior deltoid -> Anterior Deltoid; Lateral Deltoid
Plate Overhead Tricep Extension,insert,Plate Overhead Tricep Extension,,None -> Push,None -> Plate,None -> Isolation,None -> Beginner,
Band Rapunzel Pushdown,insert,Band Rapunzel Pushdown,,None -> Push,None -> Band,None -> Isolation,None -> Beginner,
Plate Overhead Squat,insert,Plate Overhead Squat,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,
Band Rear Delt Fly,update,Band Rear Delt Fly,,pull -> Pull,band -> Band,isolation -> Isolation,intermediate -> Intermediate,posterior deltoid -> Posterior Deltoid; Traps (mid-back)
Band Reverse Curl,update,Band Reverse Curl,,pull -> Pull,band -> Band,isolation -> Isolation,novice -> Beginner,
Plate Overhead Press To Tricep Extension,insert,Plate Overhead Press To Tricep Extension,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,None -> Anterior Deltoid
Band Single Arm Pushdown,insert,Band Single Arm Pushdown,,None -> Push,None -> Band,None -> Isolation,None -> Beginner,
Single Arm Rapunzel Pushdown,insert,Single Arm Rapunzel Pushdown,,None -> Push,None -> Band,None -> Isolation,None -> Beginner,
Band Single Arm Skullcrusher,insert,Band Single Arm Skullcrusher,,None -> Push,None -> Band,None -> Isolation,None -> Beginner,
Plate Deficit Lunge,insert,Plate Deficit Lunge,,None -> Push,None -> Plate,None -> Compound,None -> Advanced,
Plate Deficit Pushup,insert,Plate Deficit Pushup,,None -> Push,None -> Plate,None -> Compound,None -> Advanced,None -> Chest
Plate Full Lateral Raise,insert,Plate Full Lateral Raise,,None -> Push,None -> Plate,None -> Isolation,None -> Intermediate,None -> Lateral Deltoid; Anterior Deltoid
Plate Glute Bridge to Chest Press,insert,Plate Glute Bridge to Chest Press,,None -> Push,None -> Plate,None -> Compound,None -> Beginner,None -> Chest
Plate Glute Bridge to Pullover,update,Plate Glute Bridge to Pullover,,pull -> Pull,plate -> Plate,compound -> Compound,beginner -> Beginner,
Plate Internally Rotated Rear Delt Fly,update,Plate Internally Rotated Rear Delt Fly,,pull -> Pull,plate -> Plate,isolation -> Isolation,intermediate -> Intermediate,posterior deltoid -> Traps (mid-back); Posterior Deltoid
Plate Lateral Raise,insert,Plate Lateral Raise,,None -> Push,None -> Plate,None -> Isolation,None -> Beginner,None -> Lateral Deltoid
Plate Overhead Carry,update,Plate Overhead Carry,,hold -> Hold,plate -> Plate,compound -> Compound,beginner -> Beginner,rectus abdominis -> Anterior Deltoid; Lateral Deltoid
Plate Overhead Shrug,insert,Plate Overhead Shrug,,None -> Push,None -> Plate,None -> Isolation,None -> Advanced,
Plate Overhead Walking Lunge,insert,Plate Overhead Walking Lunge,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,
Plate Pinch Grip Farmer's Carry,insert,Plate Pinch Grip Farmer's Carry,,None -> Hold,None -> Plate,None -> Isolation,None -> Intermediate,
Plate Rear Delt Fly,update,Plate Rear Delt Fly,,pull -> Pull,plate -> Plate,isolation -> Isolation,beginner -> Beginner,posterior deltoid -> Posterior Deltoid; Traps (mid-back)
Plate Russian Twist,update,Plate Russian Twist,,pull -> Pull,plate -> Plate,isolation -> Isolation,intermediate -> Intermediate,obliques -> Obliques
Plate Situp,update,Plate Situp,,push -> Push,plate -> Plate,isolation -> Isolation,beginner -> Beginner,rectus abdominis -> Upper Abdominals
Plate Squat Hold,insert,Plate Squat Hold,,None -> Hold,None -> Plate,None -> Compound,None -> Beginner,
Weighted Forearm Plank,update,Weighted Forearm Plank,,hold -> Hold,plate -> Plate,compound -> Compound,intermediate -> Intermediate,
Plate Staggered Deadlift,insert,Plate Staggered Deadlift,,None -> Pull,None -> Plate,None -> Compound,None -> Advanced,
Plate Staggered Pinch Grip Deadlift,insert,Plate Staggered Pinch Grip Deadlift,,None -> Pull,None -> Plate,None -> Compound,None -> Advanced,
Plate Thruster,insert,Plate Thruster,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,None -> Anterior Deltoid; Lateral Deltoid
Plate Reach,insert,Plate Reach,,None -> Push,None -> Plate,None -> Isolation,None -> Beginner,None -> Anterior Deltoid
Plate Standing Twist,insert,Plate Standing Twist,,None -> Pull,None -> Plate,None -> Isolation,None -> Beginner,None -> Obliques
Weighted Hand Plank,update,Weighted Hand Plank,,hold -> Hold,plate -> Plate,compound -> Compound,intermediate -> Intermediate,
Plate Hollow Hold,update,Plate Hollow Hold,,hold -> Hold,plate -> Plate,isolation -> Isolation,advanced -> Advanced,
Plate Wood Chopper,insert,Plate Wood Chopper,,None -> Pull,None -> Plate,None -> Isolation,None -> Beginner,None -> Obliques
Barbell Feet Elevated Figure Four Glute Bridge,insert,Barbell Feet Elevated Figure Four Glute Bridge,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Feet Elevated Glute Bridge,update,Barbell Feet Elevated Glute Bridge,,push -> Push,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,
Barbell Feet Elevated Single Leg Glute Bridge,insert,Barbell Feet Elevated Single Leg Glute Bridge,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Feet Elevated Staggered Glute Bridge,insert,Barbell Feet Elevated Staggered Glute Bridge,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Bodyweight Feet Elevated Figure Four Glute Bridge,insert,Bodyweight Feet Elevated Figure Four Glute Bridge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Bodyweight Feet Elevated Glute Bridge,insert,Bodyweight Feet Elevated Glute Bridge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Bodyweight Feet Elevated Single Leg Glute Bridge,insert,Bodyweight Feet Elevated Single Leg Glute Bridge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Advanced,
Bodyweight Feet Elevated Staggered Glute Bridge,insert,Bodyweight Feet Elevated Staggered Glute Bridge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Lawnmower Row,update,Lawnmower Row,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,
Dumbbell Concentration Curl,update,Dumbbell Concentration Curl,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,
Dumbbell Crunch,update,Dumbbell Crunch,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,intermediate -> Intermediate,rectus abdominis -> Upper Abdominals
Dumbbell Elevated Pushup,insert,Dumbbell Elevated Pushup,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,None -> Chest
Dumbbell Feet Elevated Figure Four Glute Bridge,insert,Dumbbell Feet Elevated Figure Four Glute Bridge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Feet Elevated Glute Bridge,insert,Dumbbell Feet Elevated Glute Bridge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Feet Elevated Single Leg Glute Bridge,insert,Dumbbell Feet Elevated Single Leg Glute Bridge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Advanced,
Dumbbell Feet Elevated Staggered Glute Bridge,insert,Dumbbell Feet Elevated Staggered Glute Bridge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Dumbbell Knee Lawnmower Row,update,Dumbbell Knee Lawnmower Row,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,beginner -> Beginner,
Laying Lateral Raise,update,Laying Lateral Raise,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,lateral deltoid -> Lateral Deltoid
Dumbbell Long Lever Russian Twist,insert,Dumbbell Long Lever Russian Twist,,None -> Pull,None -> Dumbbells,None -> Isolation,None -> Advanced,None -> Obliques
Dumbbell Overhead Squat,update,Dumbbell Overhead Squat,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,advanced -> Advanced,quadriceps -> Lateral Deltoid; Anterior Deltoid
Plank IYTW,update,Plank IYTW,,hold -> Hold,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,rectus abdominis -> Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
Pushup to Renegade Row,update,Pushup to Renegade Row,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,pectoralis major sternal head -> Chest
Dumbbell Side Bend,update,Dumbbell Side Bend,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,obliques -> Obliques
Single Arm Overhead Squat,insert,Single Arm Overhead Squat,,None -> Push,None -> Dumbbells,None -> Compound,None -> Advanced,None -> Lateral Deltoid; Anterior Deltoid
Dumbbell Single Arm Overhead Tricep Extension,update,Dumbbell Single Arm Overhead Tricep Extension,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,triceps brachii -> Long Head Tricep
Dumbbell Single Arm Upright Row,update,Dumbbell Single Arm Upright Row,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,anterior deltoid -> Lateral Deltoid
Dumbbell Upright Row,update,Dumbbell Upright Row,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,anterior deltoid -> Lateral Deltoid
Dumbbell Standing Hip Abduction,insert,Dumbbell Standing Hip Abduction,,None -> Push,None -> Dumbbells,None -> Isolation,None -> Beginner,
Dumbbell Suitcase Crunch,update,Dumbbell Suitcase Crunch,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,advanced -> Advanced,rectus abdominis -> Upper Abdominals
Dumbbell Superman,insert,Dumbbell Superman,,None -> Pull,None -> Dumbbells,None -> Isolation,None -> Beginner,
Dumbbell Supinated Row,update,Dumbbell Supinated Row,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,beginner -> Beginner,
Dumbbell Tate Press,update,Dumbbell Tate Press,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,intermediate -> Intermediate,
TRX Ab Rollout,update,TRX Ab Rollout,,pull -> Pull,,compound -> Compound,advanced -> Advanced,
TRX Calf Raise,update,TRX Calf Raise,,push -> Push,,isolation -> Isolation,novice -> Beginner,gastrocnemius -> Gastrocnemius
TRX Pec Fly,update,TRX Pec Fly,,push -> Push,,isolation -> Isolation,intermediate -> Intermediate,pectoralis major sternal head -> Chest
TRX Curl,update,TRX Curl,,pull -> Pull,,isolation -> Isolation,beginner -> Beginner,
TRX Curtsy Lunge,insert,TRX Curtsy Lunge,,None -> Push,None -> TRX,None -> Compound,None -> Beginner,
TRX Forearm Plank,update,TRX Forearm Plank,,hold -> Hold,,compound -> Compound,beginner -> Beginner,
TRX Forearm Side Plank,insert,TRX Forearm Side Plank,,None -> Hold,None -> TRX,None -> Compound,None -> Intermediate,None -> Obliques
TRX Glute Bridge,insert,TRX Glute Bridge,,None -> Push,None -> TRX,None -> Compound,None -> Beginner,
TRX Hammer Curl,update,TRX Hammer Curl,,pull -> Pull,,isolation -> Isolation,beginner -> Beginner,
TRX Hamstring Curl,update,TRX Hamstring Curl,,pull -> Pull,,isolation -> Isolation,beginner -> Beginner,
TRX Hand Plank,update,TRX Hand Plank,,hold -> Hold,,isolation -> Isolation,intermediate -> Intermediate,
TRX I Raise,update,TRX I Raise,,pull -> Pull,,isolation -> Isolation,beginner -> Beginner,None -> Anterior Deltoid
TRX Jumping Squat,insert,TRX Jumping Squat,,None -> Push,None -> TRX,None -> Compound,None -> Intermediate,
TRX Kneeling Ab Rollout,update,TRX Kneeling Ab Rollout,,pull -> Pull,,compound -> Compound,intermediate -> Intermediate,
TRX Knee Tuck,update,TRX Knee Tuck,,pull -> Pull,,isolation -> Isolation,beginner -> Beginner,
TRX Lateral Lunge,insert,TRX Lateral Lunge,,None -> Push,None -> TRX,None -> Compound,None -> Beginner,
TRX Mountain Climber,update,TRX Mountain Climber,,pull -> Pull,,compound -> Compound,beginner -> Beginner,
TRX Oblique Crunch,insert,TRX Oblique Crunch,,None -> Pull,None -> TRX,None -> Compound,None -> Intermediate,None -> Obliques
TRX Pike,update,TRX Pike,,pull -> Pull,,compound -> Compound,intermediate -> Intermediate,
TRX Pushup,update,TRX Pushup,,push -> Push,,compound -> Compound,beginner -> Beginner,None -> Anterior Deltoid; Chest
TRX Rear Delt Fly,update,TRX Rear Delt Fly,,pull -> Pull,,isolation -> Isolation,intermediate -> Intermediate,posterior deltoid -> Posterior Deltoid; Traps (mid-back)
TRX Rear Delt Row,update,TRX Rear Delt Row,,pull -> Pull,,isolation -> Isolation,beginner -> Beginner,posterior deltoid -> Posterior Deltoid; Traps (mid-back)
TRX Reverse Curl,update,TRX Reverse Curl,,pull -> Pull,,isolation -> Isolation,intermediate -> Intermediate,
TRX Reverse Lunge,insert,TRX Reverse Lunge,,None -> Push,None -> TRX,None -> Compound,None -> Beginner,
TRX Rotating Row,update,TRX Rotating Row,,pull -> Pull,,compound -> Compound,beginner -> Beginner,
TRX Single Arm row,update,TRX Single Arm row,,pull -> Pull,,compound -> Compound,beginner -> Beginner,
TRX Skullcrusher,update,TRX Skullcrusher,,push -> Push,,isolation -> Isolation,beginner -> Beginner,
TRX Split Squat,insert,TRX Split Squat,,None -> Push,None -> TRX,None -> Compound,None -> Beginner,
TRX Squat,insert,TRX Squat,,None -> Push,None -> TRX,None -> Compound,None -> Beginner,
TRX W Raise,update,TRX W Raise,,pull -> Pull,,isolation -> Isolation,beginner -> Beginner,posterior deltoid -> Posterior Deltoid; Traps (mid-back)
