exercise_name,primary muscle group,secondary muscle group,tertiary muscle group,force,equipment,mechanic,difficulty,advanced_isolated_muscles
Barbell Meadows Row,Lats,Biceps,Forearms,Pull,Barbell,Compound,Intermediate,
Barbell Pause Box Squat,Glutes; Quads,Lower back,,Push,Barbell,Compound,Advanced,
Barbell Pause Squat,Glutes; Quads,Lower back,Lower back,Push,Barbell,Compound,Intermediate,
Barbell Pronated Pendlay Row,Lats,Biceps,Lower back,Pull,Barbell,Compound,Advanced,
Barbell Pronated Row,Lats,Biceps,Forearms,Pull,Barbell,Compound,Intermediate,
Barbell Reverse Deadlift,Quads,Glutes,Lower back,Push,Barbell,Compound,Advanced,
Barbell Reverse Lunge,Quads,Glutes,,Push,Barbell,Compound,Intermediate,
Bodyweight Reverse Step Up,Quads,,,Push,Bodyweight,Isolation,Advanced,
Barbell Seated Calf Raise,Calves,,,Push,Barbell,Isolation,Beginner,
Barbell Shrug,Traps,,,Pull,Barbell,Isolation,Beginner,
Barbell Side Step Up,Glutes; Quads,,,Push,Barbell,Compound,Intermediate,
Barbell Snatch Grip Deadlift,Glutes; Gluteus Maximus; Hamstrings,Lower back,,Pull,Barbell,Compound,Advanced,Gluteus Maximus
Barbell Snatch Grip Romanian Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Barbell,Compound,Advanced,Gluteus Maximus; Lateral Hamstrings
Barbell Split Squat,Glutes; Quads,,,Push,Barbell,Compound,Intermediate,
Barbell Spoto Press,Chest,Triceps,,Push,Barbell,Compound,Advanced,Chest
Barbell Step Up Balance,Glutes; Quads,,,Push,Barbell,Compound,Intermediate,
Barbell Step Up,Quads,Glutes,,Push,Barbell,Compound,Beginner,
Barbell Suitcase Deadlift,Glutes; Hamstrings; Obliques,Lower back,Forearms,Pull,Barbell,Compound,Advanced,Obliques
Barbell Supinated Pendlay Row,Lats,Biceps,Lower back,Pull,Barbell,Compound,Advanced,
Barbell Supinated Row,Lats,Biceps,Lower back,Pull,Barbell,Compound,Advanced,
Barbell Tap Pause Squat,Glutes; Quads,,,Push,Barbell,Compound,Intermediate,
Barbell Toes Up Calf Raise,Calves; Gastrocnemius,,,Push,Barbell,Isolation,Beginner,Gastrocnemius
Barbell Zercher Good Morning,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Barbell,Compound,Advanced,Gluteus Maximus; Lateral Hamstrings
Barbell Zercher Squat,Glutes; Quads,Lower back,,Push,Barbell,Compound,Advanced,
Barbell Z Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Traps,Triceps,Push,Barbell,Compound,Advanced,Anterior Deltoid; Lateral Deltoid
Assisted Bulgarian Split Squat,Glutes; Quads,,,Push,Bodyweight,Compound,Novice,
Curtsy Lunge,Glutes; Quads,,,Push,Bodyweight,Compound,Intermediate,
Forward Lunge,Glutes; Quads,,,Push,Bodyweight,Compound,Novice,
Heels Up Squat,Glutes; Quads,,,Push,Bodyweight,Compound,Beginner,
Lateral Lunge,Glutes; Quads,,,Push,Bodyweight,Compound,Intermediate,
Bodyweight Reverse Lunge,Glutes; Quads,Glutes; Quads,,Push,Bodyweight,Compound,Novice,
Split Squat,Glutes; Quads,,,Push,Bodyweight,Compound,Beginner,
Dumbbell Alternating Single Arm Press,Chest,Triceps,,Push,Dumbbells,Compound,Intermediate,Chest
Dumbbell Bayesian Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Pull,Dumbbells,Compound,Beginner,Lateral Deltoid
Dumbbell Bench Press,Chest,Triceps,,Push,Dumbbells,Compound,Novice,Chest
Dumbbell Chest Fly,Chest,,,Push,Dumbbells,Compound,Novice,Chest
Dumbbell Decline Alternating Single Arm Press,Chest,Triceps,,Push,Dumbbells,Compound,Intermediate,Chest
Dumbbell Decline Bench Press,Chest,Triceps,,Push,Dumbbells,Compound,Novice,Chest
Dumbbell Decline Chest Fly,Chest,,,Push,Dumbbells,Isolation,Novice,Chest
Dumbbell Decline Guillotine Bench Press,Chest,Triceps,,Push,Dumbbells,Compound,Advanced,Chest
Dumbbell Decline Neutral Bench Press,Shoulders; Anterior Deltoid; Front Shoulders,Triceps; Chest,,Push,Dumbbells,Compound,Beginner,Anterior Deltoid; Chest
Dumbbell Decline Single Arm Bench Press,Chest,Triceps,,Push,Dumbbells,Compound,Intermediate,Chest
Dumbbell Decline Skullcrusher,Triceps; Long Head Tricep,,,Push,Dumbbells,Isolation,Beginner,Long Head Tricep
Dumbbell Decline Squeeze Press,Chest,Triceps,,Push,Dumbbells,Compound,Intermediate,Chest
Dumbbell Forward Lunge,Glutes; Quads,,,Push,Dumbbells,Compound,Beginner,
Dumbbell Goblet Curtsy Lunge,Glutes; Quads,,,Push,Dumbbells,Compound,Advanced,
Dumbbell Goblet Forward Lunge,Glutes; Quads,,,Push,Dumbbells,Compound,Beginner,
Dumbbell Goblet Lateral Lunge,Glutes; Quads,,,Push,Dumbbells,Compound,Advanced,
Dumbbell Goblet Reverse Lunge,Glutes; Quads,,,Push,Dumbbells,Compound,Novice,
Dumbbell Goblet Split Squat,Glutes; Quads,,,Push,Dumbbells,Compound,Beginner,
Dumbbell Guillotine Bench Press,Chest,Triceps,,Push,Dumbbells,Compound,Advanced,Chest
Dumbbell Guillotine Incline Bench Press,Chest,Triceps,,Push,Dumbbells,Compound,Advanced,Chest
Dumbbell Incline Bench Press,Chest,Anterior Deltoid; Triceps,,Push,Dumbbells,Compound,Beginner,Chest; Anterior Deltoid
Dumbbell Incline Chest Fly,Chest,,,Push,Dumbbells,Isolation,Beginner,Chest
Dumbbell Incline Hammer Curl,Biceps,,,Pull,Dumbbells,Isolation,Novice,
Dumbbell Incline Reverse Curl,Biceps,Forearms,,Pull,Dumbbells,Isolation,Novice,
Dumbbell Incline Zottman Curl,Biceps,Forearms,,Pull,Dumbbells,Isolation,Intermediate,
Dumbbell Internally Rotated Chest Fly,Chest,,,Push,Dumbbells,Isolation,Intermediate,Chest
Dumbbell Internally Rotated Incline Chest Fly,Chest,,,Push,Dumbbells,Isolation,Intermediate,Chest
Dumbbell Lateral Lunge Reach,Glutes; Quads,Lower back,,Push,Dumbbells,Compound,Intermediate,
Dumbbell Laying 30 Degree Shrug,Traps,,,Pull,Dumbbells,Isolation,Intermediate,
Dumbbell Laying Reverse Fly,Shoulders; Posterior Deltoid; Rear Shoulders,,,Pull,Dumbbells,Isolation,Novice,Posterior Deltoid
Dumbbell Laying Reverse Fly Internally Rotated,Shoulders; Posterior Deltoid; Rear Shoulders,,,Pull,Dumbbells,Isolation,Intermediate,Posterior Deltoid
Dumbbell Laying Silverback Shrug,Traps (mid-back),Traps,,Pull,Dumbbells,Isolation,Intermediate,Traps (mid-back)
Dumbbell Neutral Bench Press,Shoulders; Anterior Deltoid; Chest; Front Shoulders,Triceps,,Push,Dumbbells,Compound,Novice,Anterior Deltoid; Chest
Dumbbell Neutral Incline Bench Press,Shoulders; Anterior Deltoid; Chest; Front Shoulders,Triceps,,Push,Dumbbells,Compound,Novice,Anterior Deltoid; Chest
Dumbbell Neutral Seated Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Triceps,,Push,Dumbbells,Compound,Novice,Anterior Deltoid
Dumbbell Pullover,Lats,,,Pull,Dumbbells,Isolation,Intermediate,
Dumbbell Reverse Lunge,Glutes; Quads,,,Push,Dumbbells,Compound,Novice,
Dumbbell Rolling Tricep Extension,Triceps,,,Push,Dumbbells,Isolation,Advanced,
Dumbbell Seated Arnold Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Dumbbells,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Dumbbell Squeeze Press,Chest,Triceps,,Push,Dumbbells,Compound,Novice,Chest
Dumbbell Single Arm Press,Chest,Triceps,,Push,Dumbbells,Compound,Intermediate,Chest
Dumbbell Split Squat,Glutes; Quads,,,Push,Dumbbells,Compound,Novice,
Dumbbell Alternating Arnold Press,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Triceps,,Push,Dumbbells,Compound,Advanced,Lateral Deltoid; Anterior Deltoid
Dumbbell Alternating Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Dumbbells,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Dumbbell Alternating Pendlay Row,Lats,Biceps,Lower back,Pull,Dumbbells,Compound,Advanced,
Dumbbell Arnold Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Dumbbells,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Dumbbell Figure Four Glute Bridge,Glutes,,,Push,Dumbbells,Compound,Intermediate,
Dumbbell Figure Four Hip Thrust,Glutes,,,Push,Dumbbells,Compound,Intermediate,
Dumbbell Front Rack Pause Squat,Glutes; Quads,Lower back,,Push,Dumbbells,Compound,Intermediate,
Dumbbell Front Rack Squat,Glutes; Quads,Lower back,,Push,Dumbbells,Compound,Intermediate,
Dumbbell Goblet Pulse Squat,Quads,Glutes,,Push,Dumbbells,Compound,Beginner,
Dumbbell Half Kneeling Wood Chopper,Obliques,Abdominals,,Pull,Dumbbells,Isolation,Intermediate,Obliques
Dumbbell Heels Up Goblet Squat,Glutes; Quads,,,Push,Dumbbells,Compound,Novice,
Dumbbell Heels Up Narrow Goblet Squat,Glutes; Quads,,,Push,Dumbbells,Compound,Advanced,
Dumbbell Hollow Hold,Abdominals,,,Hold,Dumbbells,Isolation,Advanced,
Dumbbell Kneeling Single Arm Row,Lats,Biceps,,Pull,Dumbbells,Compound,Novice,
Dumbbell Kneeling Wood Chopper,Obliques,,,Pull,Dumbbells,Isolation,Beginner,Obliques
Dumbbell Laying Incline Row,Lats,Biceps,,Pull,Dumbbells,Compound,Novice,
Dumbbell Leg Curl,Hamstrings; Medial Hamstrings,,,Pull,Dumbbells,Isolation,Beginner,Medial Hamstrings
Dumbbell Leg Extension,Quads,,,Push,Dumbbells,Isolation,Beginner,
Dumbbell Neutral Alternating Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Triceps,,Push,Dumbbells,Compound,Intermediate,Anterior Deltoid
Dumbbell Neutral Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Triceps,,Push,Dumbbells,Compound,Novice,Anterior Deltoid
Dumbbell Offset Squat,Glutes; Quads,Obliques,,Push,Dumbbells,Compound,Intermediate,Obliques
Dumbbell Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Dumbbells,Compound,Novice,Anterior Deltoid; Lateral Deltoid
Dumbbell Overhead Side Bend,Obliques,,,Pull,Dumbbells,Isolation,Advanced,Obliques
Dumbbell Overhead Tricep Extension,Triceps; Long Head Tricep,,,Push,Dumbbells,Isolation,Beginner,Long Head Tricep
Dumbbell Pendlay Row,Lats,Biceps,,Pull,Dumbbells,Compound,Intermediate,
Dumbbell Push Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Dumbbells,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Dumbbell Renegade Row,Abdominals,Lats,,Pull,Dumbbells,Compound,Intermediate,
Dumbbell Seated Calf Raise,Calves,,,Push,Dumbbells,Isolation,Novice,
Dumbbell Shoulder Extension,Lats,,,Pull,Dumbbells,Isolation,Intermediate,
Dumbbell Side Plank Up Down,Obliques,,,Push,Dumbbells,Isolation,Beginner,Obliques
Dumbbell Silverback Shrug,Traps (mid-back),Traps,,Pull,Dumbbells,Isolation,Beginner,Traps (mid-back)
Dumbbell Single Arm Arnold Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Dumbbells,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Dumbbell Single Arm Neutral Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Dumbbells,Compound,Beginner,Anterior Deltoid; Lateral Deltoid
Dumbbell Single Arm Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Dumbbells,Compound,Beginner,Anterior Deltoid; Lateral Deltoid
Dumbbell Single Arm Preacher Curl,Biceps; Short Head Bicep,Short Head Bicep,,Pull,Dumbbells,Isolation,Novice,Short Head Bicep
Dumbbell Single Arm Row,Lats,Biceps,,Pull,Dumbbells,Compound,Novice,
Dumbbell Single Arm Row Knee,Lats,Biceps,,Pull,Dumbbells,Compound,Novice,
Dumbbell Single Arm Spider Curl,Biceps,,,Pull,Dumbbells,Isolation,Beginner,
Dumbbell Single Leg Glute Bridge,Glutes,,,Push,Dumbbells,Compound,Intermediate,
Dumbbell Single Leg Hip Thrust,Glutes,,,Push,Dumbbells,Compound,Beginner,
Dumbbell Single Leg Single Arm Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Dumbbells,Compound,Advanced,Gluteus Maximus; Lateral Hamstrings
Dumbbell Single Leg Stiff Leg Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Dumbbells,Compound,Intermediate,Gluteus Maximus; Lateral Hamstrings
Dumbbell Spider Curl,Biceps,,,Pull,Dumbbells,Isolation,Beginner,
Dumbbell Staggered Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Dumbbells,Compound,Intermediate,Gluteus Maximus; Lateral Hamstrings
Dumbbell Staggered Glute Bridge,Glutes,,,Push,Dumbbells,Compound,Beginner,
Dumbbell Staggered Hip thrust,Glutes,,,Push,Dumbbells,Compound,Beginner,
Dumbbell Sumo Squat,Glutes,Lower back; Quads,,Push,Dumbbells,Compound,Beginner,
Dumbbell Swing,Glutes; Hamstrings,Lower back,,Push,Dumbbells,Compound,Beginner,
Dumbbell Thruster,Glutes; Anterior Deltoid; Quads; Front Shoulders,Shoulders; Lateral Deltoid,,Push,Dumbbells,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Dumbbell Tricep Kickback,Triceps,,,Push,Dumbbells,Isolation,Beginner,
Dumbbell Twisting Curl,Biceps,,,Pull,Dumbbells,Isolation,Novice,
Dumbbell Hand Side Plank,Obliques,,,Hold,Dumbbells,Isolation,Intermediate,Obliques
Dumbbell Elbow Side Plank,Obliques,,,Hold,Dumbbells,Isolation,Beginner,Obliques
Mountain Climber,Abdominals,,,Pull,Bodyweight,Compound,Novice,
Burpee,Abdominals; Chest,Quads,Glutes,Push,Bodyweight,Compound,Intermediate,Chest
Plate Alternating Deadstop Row,Biceps; Lats,Biceps,,Pull,Plate,Compound,Intermediate,
Plate Bicep Curl,Biceps,,,Pull,Plate,Isolation,Novice,
Plate Squat,Glutes; Quads,,,Push,Plate,Compound,Novice,
Plate Clean And Press,Glutes,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,,Push,Plate,Compound,Intermediate,Lateral Deltoid; Anterior Deltoid
Plate Squat Reach,Shoulders; Anterior Deltoid; Front Shoulders,Glutes; Quads,,Push,Plate,Compound,Beginner,Anterior Deltoid
Plate Clean,Glutes,,,Pull,Plate,Compound,Intermediate,
Plate Curl To Overhead Press,Biceps,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid,Push,Plate,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Plate Squat Hold Reach,Shoulders; Anterior Deltoid; Triceps; Front Shoulders,Glutes; Quads,,Push,Plate,Compound,Intermediate,Anterior Deltoid
Plate Curl To Overhead Press To Tricep Extension,Biceps; Triceps,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid,Push,Plate,Compound,Advanced,Anterior Deltoid; Lateral Deltoid
Plate Curtsy Lunge,Glutes,Quads,,Push,Plate,Compound,Intermediate,
Plate Deadlift,Glutes; Hamstrings,Lower back,,Pull,Plate,Compound,Intermediate,
Plate Squat Hold Curl,Biceps,Glutes; Quads,,Pull,Plate,Compound,Intermediate,
Plate Single Leg Pinch Grip Deadlift,Forearms; Hamstrings,Glutes,Lower back,Pull,Plate,Compound,Intermediate,
Plate Car Driver,Shoulders; Anterior Deltoid; Front Shoulders,,,Hold,Plate,Compound,Beginner,Anterior Deltoid
Plate Front Raise,Shoulders; Anterior Deltoid; Front Shoulders,,,Push,Plate,Isolation,Novice,Anterior Deltoid
Plate Good Morning Anterior,Glutes; Hamstrings,Lower back,,Pull,Plate,Isolation,Novice,
Plate Good Morning,Glutes; Hamstrings,Lower back,,Pull,Plate,,Novice,
Plate Halo,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,,,Push,Plate,Compound,Novice,Lateral Deltoid; Anterior Deltoid
Plate Lateral Lunge,Glutes,Quads,,Push,Plate,Compound,Novice,
Plate Forward Lunge,Quads,Glutes,,Push,Plate,Compound,Novice,
Band High Curl,Biceps,,,Pull,Band,Isolation,Novice,
Band High Hammer Curl,Biceps,,,Pull,Band,Isolation,Novice,
Band High Reverse Curl,Biceps,Forearms,,Pull,Band,Isolation,Novice,
Band Chest Fly,Chest,,,Push,Band,Isolation,Beginner,Chest
Band Chest Press,Chest,Triceps,,Push,Band,Compound,Novice,Chest
Band Curl,Biceps,,,Pull,Band,Isolation,Novice,
Plate Single Leg Deadlift,Glutes; Hamstrings,Lower back,,Pull,Plate,Compound,Advanced,
Band High Face Pull,Shoulders; Posterior Deltoid; Rear Shoulders,Traps (mid-back),,Pull,Band,Isolation,Novice,Posterior Deltoid; Traps (mid-back)
Plate Reverse Lunge Twist,Glutes; Quads,Obliques,,Push,Plate,Compound,Intermediate,Obliques
Plate Reverse Lunge,Glutes; Quads,,,Push,Plate,Compound,Novice,
Band Hip Abduction,Glutes,,,Push,Band,Isolation,Beginner,
Band Hip Adduction,Glutes; Groin,,,Pull,Band,Isolation,Intermediate,
Band Internally Rotated Chest Fly,Chest,,,Push,Band,Isolation,Intermediate,Chest
Plate Pinch Grip Side Bend,Forearms,Obliques,,Pull,Plate,Isolation,Beginner,Obliques
Band Leg Curl,Hamstrings,,,Pull,Band,Isolation,Beginner,
Plate Pinch Grip Row,Forearms,Lats,Biceps,Pull,Plate,Compound,Intermediate,
Band Leg Extension,Quads,,,Push,Band,Isolation,Beginner,
Band Low Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Push,Band,Isolation,Intermediate,Lateral Deltoid
Band Mid Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Push,Band,Isolation,Beginner,Lateral Deltoid
Plate Pinch Grip Deadlift,Forearms; Lats,Glutes; Hamstrings,Lower back,,Plate,,Intermediate,
Band Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Band,Compound,Novice,Anterior Deltoid; Lateral Deltoid
Plate Overhead Tricep Extension,Triceps,,,Push,Plate,Isolation,Novice,
Band Rapunzel Pushdown,Triceps,,,Push,Band,Isolation,Beginner,
Plate Overhead Squat,Glutes; Quads,Shoulders,,Push,Plate,Compound,Intermediate,
Band Rear Delt Fly,Shoulders; Posterior Deltoid; Rear Shoulders,Traps (mid-back),,Pull,Band,Isolation,Intermediate,Posterior Deltoid; Traps (mid-back)
Band Reverse Curl,Biceps,Forearms,,Pull,Band,Isolation,Novice,
Plate Overhead Press To Tricep Extension,Triceps,Shoulders; Anterior Deltoid; Front Shoulders,,Push,Plate,Compound,Intermediate,Anterior Deltoid
Band Single Arm Pushdown,Triceps,,,Push,Band,Isolation,Novice,
Single Arm Rapunzel Pushdown,Triceps,,,Push,Band,Isolation,Beginner,
Band Single Arm Skullcrusher,Triceps,,,Push,Band,Isolation,Beginner,
Plate Deficit Lunge,Glutes; Quads,,,Push,Plate,Compound,Advanced,
Plate Deficit Pushup,Chest,Triceps,Shoulders,Push,Plate,Compound,Advanced,Chest
Plate Full Lateral Raise,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,,,Push,Plate,Isolation,Intermediate,Lateral Deltoid; Anterior Deltoid
Plate Glute Bridge to Chest Press,Chest,Glutes,,Push,Plate,Compound,Beginner,Chest
Plate Glute Bridge to Pullover,Lats,Glutes,,Pull,Plate,Compound,Beginner,
Plate Internally Rotated Rear Delt Fly,Traps (mid-back); Shoulders; Posterior Deltoid; Rear Shoulders,Traps,,Pull,Plate,Isolation,Intermediate,Traps (mid-back); Posterior Deltoid
Plate Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Push,Plate,Isolation,Novice,Lateral Deltoid
Plate Overhead Carry,Abdominals; Traps,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid,Hold,Plate,Compound,Beginner,Anterior Deltoid; Lateral Deltoid
Plate Overhead Shrug,Traps,,,Push,Plate,Isolation,Advanced,
Plate Overhead Walking Lunge,Glutes; Quads,Shoulders,,Push,Plate,Compound,Intermediate,
Plate Pinch Grip Farmer's Carry,Forearms,,,Hold,Plate,Isolation,Intermediate,
Plate Rear Delt Fly,Shoulders; Posterior Deltoid; Rear Shoulders,Traps (mid-back),,Pull,Plate,Isolation,Beginner,Posterior Deltoid; Traps (mid-back)
Plate Russian Twist,Obliques,Abdominals,,Pull,Plate,Isolation,Intermediate,Obliques
Plate Situp,Abdominals; Upper Abdominals,,,Push,Plate,Isolation,Beginner,Upper Abdominals
Plate Squat Hold,Glutes; Quads,,,Hold,Plate,Compound,Novice,
Weighted Forearm Plank,Abdominals,,,Hold,Plate,Compound,Intermediate,
Plate Staggered Deadlift,Glutes; Hamstrings,Lower back,,Pull,Plate,Compound,Advanced,
Plate Staggered Pinch Grip Deadlift,Forearms; Hamstrings,Glutes,Lower back,Pull,Plate,Compound,Advanced,
Plate Thruster,Glutes; Shoulders; Anterior Deltoid; Quads; Front Shoulders,Lateral Deltoid,,Push,Plate,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Plate Reach,Shoulders; Anterior Deltoid; Front Shoulders,,,Push,Plate,Isolation,Beginner,Anterior Deltoid
Plate Standing Twist,Obliques,,,Pull,Plate,Isolation,Beginner,Obliques
Weighted Hand Plank,Abdominals,,,Hold,Plate,Compound,Intermediate,
Plate Hollow Hold,Abdominals,,,Hold,Plate,Isolation,Advanced,
Plate Wood Chopper,Obliques,,,Pull,Plate,Isolation,Beginner,Obliques
Barbell Feet Elevated Figure Four Glute Bridge,Glutes,,,Push,Barbell,Compound,Intermediate,
Barbell Feet Elevated Glute Bridge,Glutes,,,Push,Barbell,Compound,Intermediate,
Barbell Feet Elevated Single Leg Glute Bridge,Glutes,,,Push,Barbell,Compound,Advanced,
Barbell Feet Elevated Staggered Glute Bridge,Glutes,,,Push,Barbell,Compound,Intermediate,
Bodyweight Feet Elevated Figure Four Glute Bridge,Glutes,,,Push,Bodyweight,Compound,Intermediate,
Bodyweight Feet Elevated Glute Bridge,Glutes,,,Push,Bodyweight,Compound,Novice,
Bodyweight Feet Elevated Single Leg Glute Bridge,Glutes,,,Push,Bodyweight,Compound,Advanced,
Bodyweight Feet Elevated Staggered Glute Bridge,Glutes,,,Push,Bodyweight,Compound,Intermediate,
Lawnmower Row,Lats,Biceps,,Pull,Dumbbells,Compound,Intermediate,
Dumbbell Concentration Curl,Biceps,,,Pull,Dumbbells,Isolation,Beginner,
Dumbbell Crunch,Abdominals; Upper Abdominals,,,Push,Dumbbells,Isolation,Intermediate,Upper Abdominals
Dumbbell Elevated Pushup,Chest,Triceps,,Push,Dumbbells,Compound,Intermediate,Chest
Dumbbell Feet Elevated Figure Four Glute Bridge,Glutes,,,Push,Dumbbells,Compound,Beginner,
Dumbbell Feet Elevated Glute Bridge,Glutes,,,Push,Dumbbells,Compound,Beginner,
Dumbbell Feet Elevated Single Leg Glute Bridge,Glutes,,,Push,Dumbbells,Compound,Advanced,
Dumbbell Feet Elevated Staggered Glute Bridge,Glutes,,,Push,Dumbbells,Compound,Intermediate,
Dumbbell Knee Lawnmower Row,Lats,Biceps,,Pull,Dumbbells,Compound,Beginner,
Laying Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Pull,Dumbbells,Isolation,Beginner,Lateral Deltoid
Dumbbell Long Lever Russian Twist,Obliques,,,Pull,Dumbbells,Isolation,Advanced,Obliques
Dumbbell Overhead Squat,Glutes; Quads,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,,Push,Dumbbells,Compound,Advanced,Lateral Deltoid; Anterior Deltoid
Plank IYTW,Abdominals,Shoulders; Lateral Deltoid; Anterior Deltoid; Posterior Deltoid; Front Shoulders; Rear Shoulders,,Hold,Dumbbells,Compound,Intermediate,Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
Pushup to Renegade Row,Chest,Lats,Abdominals,Push,Dumbbells,Compound,Intermediate,Chest
Dumbbell Side Bend,Obliques,,,Pull,Dumbbells,Isolation,Novice,Obliques
Single Arm Overhead Squat,Quads,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Glutes,Push,Dumbbells,Compound,Advanced,Lateral Deltoid; Anterior Deltoid
Dumbbell Single Arm Overhead Tricep Extension,Triceps; Long Head Tricep,,,Push,Dumbbells,Isolation,Beginner,Long Head Tricep
Dumbbell Single Arm Upright Row,Shoulders; Lateral Deltoid; Front Shoulders,Traps,,Pull,Dumbbells,Isolation,Novice,Lateral Deltoid
Dumbbell Upright Row,Shoulders; Lateral Deltoid; Front Shoulders,,,Pull,Dumbbells,Isolation,Novice,Lateral Deltoid
Dumbbell Standing Hip Abduction,Glutes,,,Push,Dumbbells,Isolation,Beginner,
Dumbbell Suitcase Crunch,Abdominals; Upper Abdominals,,,Push,Dumbbells,Isolation,Advanced,Upper Abdominals
Dumbbell Superman,Lower back,,,Pull,Dumbbells,Isolation,Novice,
Dumbbell Supinated Row,Lats,Biceps,,Pull,Dumbbells,Compound,Beginner,
Dumbbell Tate Press,Triceps,,,Push,Dumbbells,Isolation,Intermediate,
TRX Ab Rollout,Abdominals,Lats,Lower back,Pull,TRX,Compound,Advanced,
TRX Calf Raise,Calves; Gastrocnemius,,,Push,TRX,Isolation,Novice,Gastrocnemius
TRX Pec Fly,Chest,,,Push,TRX,Isolation,Intermediate,Chest
TRX Curl,Biceps,,,Pull,TRX,Isolation,Beginner,
TRX Curtsy Lunge,Glutes; Quads,,,Push,TRX,Compound,Beginner,
TRX Forearm Plank,Abdominals,,,Hold,TRX,Compound,Beginner,
TRX Forearm Side Plank,Obliques,,,Hold,TRX,Compound,Intermediate,Obliques
TRX Glute Bridge,Glutes,,,Push,TRX,Compound,Beginner,
TRX Hammer Curl,Biceps,,,Pull,TRX,Isolation,Beginner,
TRX Hamstring Curl,Hamstrings,,,Pull,TRX,Isolation,Beginner,
TRX Hand Plank,Abdominals,,,Hold,TRX,Isolation,Intermediate,
TRX I Raise,Shoulders; Anterior Deltoid; Front Shoulders,,,Pull,TRX,Isolation,Beginner,Anterior Deltoid
TRX Jumping Squat,Glutes; Quads,,,Push,TRX,Compound,Intermediate,
TRX Kneeling Ab Rollout,Abdominals,Lats,,Pull,TRX,Compound,Intermediate,
TRX Knee Tuck,Abdominals,,,Pull,TRX,Isolation,Beginner,
TRX Lateral Lunge,Glutes; Quads,,,Push,TRX,Compound,Novice,
TRX Mountain Climber,Abdominals,,,Pull,TRX,Compound,Beginner,
TRX Oblique Crunch,Obliques,,,Pull,TRX,Compound,Intermediate,Obliques
TRX Pike,Abdominals,,,Pull,TRX,Compound,Intermediate,
TRX Pushup,Anterior Deltoid; Chest; Front Shoulders,Triceps,Shoulders,Push,TRX,Compound,Beginner,Anterior Deltoid; Chest
TRX Rear Delt Fly,Shoulders; Posterior Deltoid; Rear Shoulders,Traps (mid-back),,Pull,TRX,Isolation,Intermediate,Posterior Deltoid; Traps (mid-back)
